ticker,quarter,field,raw_value
WULF,2016q4,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
WULF,2016q4,totalShareholderEquity,'None'
WULF,2016q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2015q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2015q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2015q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2015q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2014q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2014q4,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
WULF,2014q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2014q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2014q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2013q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
WULF,2013q4,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
